nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
737.91,96.16,751.85,85.95,731.09,88.0,780.72,102.05,721.93,104.97,817.98,182.59,686.76,178.26,841.68,277.16,670.99,269.64,788.36,301.43,696.3,303.69,783.64,388.97,702.54,379.8,787.25,531.17,709.26,517.22,782.34,664.73,703.14,663.6
734.96,96.34,748.7,86.29,729.24,89.75,781.23,100.11,723.56,106.21,818.46,182.94,687.77,178.24,843.77,279.39,671.64,272.38,772.64,302.82,713.72,299.19,787.8,388.45,707.12,376.48,785.83,532.28,709.26,515.55,782.85,665.76,702.89,663.94
740.79,100.52,754.62,89.12,733.3,91.23,782.9,101.21,725.17,105.95,824.01,182.1,692.3,176.59,858.43,274.91,653.14,267.63,788.57,283.91,706.76,290.36,789.2,387.08,707.14,379.83,787.7,535.6,708.2,515.93,783.25,665.76,700.45,658.52
747.31,100.55,761.3,89.66,739.26,89.59,783.86,103.95,725.34,102.84,822.14,181.24,691.46,177.82,856.07,273.85,653.48,270.17,787.96,281.78,705.47,290.38,789.33,386.25,707.89,380.08,787.35,532.89,708.25,515.3,782.7,664.66,701.49,660.59
753.91,100.5,767.08,91.31,744.28,89.02,784.71,106.44,725.41,102.27,821.44,180.58,688.95,178.7,852.07,274.61,656.34,271.66,787.18,280.91,706.0,290.54,789.47,388.78,709.05,378.56,786.23,531.02,707.75,515.53,782.67,664.66,700.54,658.4
758.0,101.52,770.43,92.56,747.96,89.12,784.82,107.67,725.31,101.61,821.18,180.77,688.16,179.08,847.9,275.16,659.76,273.03,786.54,281.2,707.07,290.7,790.06,386.81,708.6,379.01,787.3,538.87,708.07,515.2,783.66,666.73,701.53,660.35
761.65,102.67,773.14,93.45,750.57,89.65,784.54,108.53,725.35,100.58,820.82,180.79,687.59,179.76,843.71,275.06,661.64,273.87,785.8,283.02,707.18,291.35,788.86,387.14,709.33,381.81,787.41,535.76,708.14,516.46,783.17,665.73,701.83,659.74
764.06,102.96,774.23,93.83,752.42,90.13,784.4,109.03,725.36,101.01,820.52,179.94,687.34,179.45,843.24,275.81,662.86,274.81,787.5,282.8,707.74,292.26,788.5,386.06,708.62,383.09,787.24,536.4,708.42,516.59,783.78,666.53,701.77,659.81
765.61,102.96,775.55,94.12,753.92,90.67,784.79,108.39,725.38,100.27,819.41,179.66,686.93,179.4,845.24,275.21,661.5,274.88,787.5,284.05,708.72,293.05,787.92,386.95,709.79,380.63,787.05,535.65,708.33,516.7,783.33,665.36,701.58,660.4
767.04,103.49,777.03,94.94,755.03,90.88,784.88,107.07,725.18,99.98,819.4,179.14,686.6,178.99,849.97,274.23,658.51,274.08,789.2,284.37,708.29,292.94,788.92,386.24,709.28,384.14,785.43,536.68,709.88,515.93,781.02,664.57,702.64,659.56
768.11,103.82,777.37,95.58,755.87,91.31,784.99,107.1,725.77,99.99,819.36,179.05,686.76,178.53,852.51,272.21,652.82,272.66,791.67,283.76,708.82,293.29,788.38,385.82,709.98,382.04,785.37,537.39,709.59,515.95,780.87,664.12,702.99,659.6
