nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
893.13,57.0,896.22,51.19,886.7,52.08,0.0,0.0,876.08,55.93,911.97,80.69,864.98,88.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
969.65,67.97,972.73,62.65,965.34,63.03,979.1,65.69,958.66,67.1,982.44,94.88,950.02,98.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.46,57.85,271.38,52.13,259.81,52.66,0.0,0.0,243.19,60.03,0.0,0.0,236.72,101.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850.75,95.8,852.26,89.83,842.15,91.26,0.0,0.0,827.15,98.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1082.84,84.34,0.0,0.0,1076.41,80.15,0.0,0.0,1062.48,84.17,1089.33,107.6,1058.57,114.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
787.8,119.21,792.12,111.94,778.24,113.74,0.0,0.0,764.87,121.1,811.82,155.56,753.0,160.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
897.59,56.29,900.91,50.03,889.59,51.54,0.0,0.0,876.67,58.01,917.29,80.07,866.17,87.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081.03,84.2,1082.75,79.89,1074.57,80.41,0.0,0.0,1058.83,84.08,1088.52,109.22,1053.84,115.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867.09,131.57,868.99,124.92,857.54,126.48,0.0,0.0,842.31,134.69,886.08,154.79,832.84,167.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039.03,134.27,1042.16,126.85,1030.73,126.85,0.0,0.0,1011.41,121.77,0.0,0.0,995.73,154.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1137.46,141.95,1139.92,134.63,1127.95,137.97,0.0,0.0,1114.03,142.92,0.0,0.0,1112.02,167.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494.27,106.68,496.23,100.89,486.38,102.13,0.0,0.0,469.43,107.13,0.0,0.0,449.87,141.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715.86,147.8,718.19,141.7,708.3,143.29,0.0,0.0,694.37,146.17,0.0,0.0,686.92,160.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573.07,65.31,575.72,59.61,565.46,60.53,0.0,0.0,550.22,64.84,589.04,89.59,540.2,95.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342.71,149.59,345.22,142.11,334.13,144.17,0.0,0.0,317.58,147.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
730.58,77.52,734.2,71.32,721.8,72.89,0.0,0.0,707.4,78.41,0.0,0.0,706.47,105.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
962.06,131.14,962.08,124.82,955.03,125.77,0.0,0.0,936.77,131.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849.81,95.92,852.07,90.12,841.24,91.87,0.0,0.0,826.51,99.83,0.0,0.0,819.43,129.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
977.2,67.97,978.18,63.14,971.07,63.9,0.0,0.0,956.77,68.72,0.0,0.0,947.58,97.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625.85,156.78,627.38,149.91,616.75,150.63,0.0,0.0,595.83,154.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1229.36,103.02,1231.84,96.8,1222.23,97.81,0.0,0.0,1207.96,100.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321.65,74.84,324.6,69.15,313.6,70.8,0.0,0.0,297.7,76.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520.25,140.11,523.46,134.36,512.95,135.11,0.0,0.0,498.6,138.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1038.8,64.47,1041.65,58.07,1032.31,59.69,0.0,0.0,1019.84,61.83,0.0,0.0,1011.39,92.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255.34,141.38,258.3,134.97,246.29,135.65,0.0,0.0,229.8,142.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.91,111.67,83.87,106.3,73.26,108.61,0.0,0.0,60.93,115.3,0.0,0.0,52.57,139.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663.06,57.06,665.37,52.46,656.06,52.7,0.0,0.0,642.07,58.78,0.0,0.0,635.9,83.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626.01,156.93,628.19,150.24,616.39,150.57,0.0,0.0,595.86,155.45,644.3,184.81,585.07,191.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
787.59,119.12,792.11,111.87,778.24,113.86,0.0,0.0,765.02,120.24,810.46,151.98,754.4,162.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255.38,141.16,258.38,134.95,246.34,136.02,0.0,0.0,229.26,143.91,274.78,177.39,218.44,182.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
